year,collection_round,sub_basin,Total
2018,1,Hangang_Goyang,217
2018,1,Hyeongsangang,150
2018,1,Suyeonggang,290
2018,1,Saemangeum(jiksocheon),115
2018,1,Gangjeonggoryeongbo(nakdongwaegwan),173
2018,1,Namgang,218
2018,1,Seomjingokseong,153
2018,1,Geumhogang,223
2018,1,Gapcheon,153
2018,1,Yeongsangang_Hagueon,76
2018,1,Changnyeonghapcheonbo(nakdonggoryeong),161
2018,1,Gamcheon,181
2018,1,Soyanggang,104
2018,1,Namhaedo,196
2018,1,Geumsanmyeon,49
2018,1,Tamjingang,221
2018,1,Watancheon,191
2018,1,Daeho_Seawall,115
2018,1,Yeongsangang_Sangryu,201
2018,1,Byeongseongcheon,99
2018,1,Geojedo,149
2018,1,Hangang_Jamsil,149
2018,1,Imjingangharyu,35
2018,1,Gangreung_Namdaecheon,210
2018,1,Chungjudaem,256
2018,1,Seomjingang_Seonamhae,282
2018,1,Hantangang,191
2018,1,Daecheongdaem,125
2018,1,Yeongsangang_Haryu,157
2018,1,Jejunamhae,34
2018,1,Yeongamcheon,165
2018,1,Imjingangsangryu,131
2018,1,Gahwacheon,260
2018,1,Hangang_Seoul,212
2018,1,Mihocheon,138
2018,1,Jujincheon,251
2018,1,Muju_Namdaecheon,132
2018,1,Inbukcheon,111
2018,1,Daejongcheon,120
2018,1,Sunchang,203
2018,1,Hwanggang,141
2018,1,Hoecheon,154
2018,1,Uiamdaem,186
2018,1,Gomakwoncheon,185
2018,1,Jejuseohae,41
2018,1,Sihwaho,100
2018,1,Seomjingang_Haryu,255
2018,1,Anseongcheon,229
2018,1,Geumgang_Gongju,312
2018,1,Dongjingang,185
2018,1,Namhangangharyu,309
2018,1,Naeseongcheon,206
2018,1,Pyeongchanggang,201
2018,1,Nonsancheon,188
2018,1,Sapgyocheon,219
2018,1,Isacheon,299
2018,1,Jejubukhae,42
2018,1,Samcheokosipcheon,159
2018,1,Yeosusi,72
2018,1,Juamdaem,243
2018,1,Cheongpyeongdaem,189
2018,1,Geumgang_Hagueon,147
2018,1,Yeongsangang_Jungryu(juksanbo),163
2018,1,Hapcheondaem,174
2018,1,Geumgang_Seohae,184
2018,1,Hangang_Seohae,130
2018,1,Jiseokcheon,244
2018,1,Nakdongchangnyeong,149
2018,1,Yocheon,173
2018,1,Nakdongsangju,174
2018,1,Jindo,176
2018,1,Sinangun,12
2018,1,Hongcheongang,217
2018,1,Mangyeonggang,294
2018,1,Yeonggang,149
2018,1,Nakdonggang_Namhae,304
2018,1,Namgangdaem,257
2018,1,Chuncheondaem,204
2018,1,Andongdaem,148
2018,1,Nakdongmilyang,170
2018,1,Chungjudaemharyu,101
2018,1,Daecheongdaemsangryu,110
2018,1,Wicheon,177
2018,1,Gyeongancheon,167
2018,1,Chogang,138
2018,1,Boseonggang,171
2018,1,Hoeyagang,124
2018,1,Wangpicheon,326
2018,1,Sueocheon,269
2018,1,Yeongdeokosipcheon,238
2018,1,Imhadaem,229
2018,1,Taehwagang,149
2018,1,Seomjingang_Daem,220
2018,1,Paldangdaem,29
2018,1,Hwangryonggang,212
2018,1,Gumibo(nakdonggumi),122
2018,1,Seomjingang_Daemharyu,139
2018,1,Yangyang_Namdaecheon,361
2018,1,Nakdonggang_Hagueon,161
2018,1,Yeongdongcheon,161
2018,1,Andongdaemharyu,229
2018,1,Milyanggang,229
2018,1,Yongdamdaemharyu,89
2018,1,Namhangangsangryu,157
2018,1,Yongdamdaem,148
2018,1,Wando,158
2018,1,Seomgang,142
2018,1,Pyeonghwauidaem,56
2018,1,Osucheon,203
2018,1,Bunam_Seawall,36
2018,1,Daecheongdaemharyu,58
2018,1,Dalcheon,198
2018,1,Bocheongcheon,136
2018,2,Hangang_Goyang,206
2018,2,Hyeongsangang,164
2018,2,Suyeonggang,296
2018,2,Saemangeum(jiksocheon),133
2018,2,Gangjeonggoryeongbo(nakdongwaegwan),186
2018,2,Namgang,221
2018,2,Seomjingokseong,164
2018,2,Geumhogang,218
2018,2,Gapcheon,149
2018,2,Yeongsangang_Hagueon,78
2018,2,Changnyeonghapcheonbo(nakdonggoryeong),174
2018,2,Gamcheon,176
2018,2,Soyanggang,115
2018,2,Namhaedo,200
2018,2,Geumsanmyeon,65
2018,2,Tamjingang,195
2018,2,Watancheon,184
2018,2,Daeho_Seawall,131
2018,2,Yeongsangang_Sangryu,184
2018,2,Byeongseongcheon,65
2018,2,Geojedo,165
2018,2,Hangang_Jamsil,137
2018,2,Imjingangharyu,40
2018,2,Gangreung_Namdaecheon,236
2018,2,Chungjudaem,213
2018,2,Seomjingang_Seonamhae,285
2018,2,Hantangang,175
2018,2,Daecheongdaem,100
2018,2,Yeongsangang_Haryu,144
2018,2,Jejunamhae,24
2018,2,Yeongamcheon,138
2018,2,Imjingangsangryu,103
2018,2,Gahwacheon,242
2018,2,Hangang_Seoul,197
2018,2,Mihocheon,159
2018,2,Jujincheon,259
2018,2,Muju_Namdaecheon,131
2018,2,Inbukcheon,106
2018,2,Daejongcheon,148
2018,2,Sunchang,159
2018,2,Hwanggang,156
2018,2,Hoecheon,158
2018,2,Uiamdaem,182
2018,2,Gomakwoncheon,169
2018,2,Jejuseohae,34
2018,2,Sihwaho,103
2018,2,Seomjingang_Haryu,252
2018,2,Anseongcheon,213
2018,2,Geumgang_Gongju,319
2018,2,Dongjingang,198
2018,2,Namhangangharyu,292
2018,2,Naeseongcheon,128
