node1,node2
쌍촌,강릉
강릉,포남
달방천,용수천
용수천,주수천
경안천11,경안천10
경안천10,경안천9
경안천9,무갑천
경안천9,경안천8
경안천8,곤지암천3
경안천8,목현천
경안천8,경안천7
곤지암천3,곤지암천2
곤지암천2,곤지암천1
경안천7,경안천6
경안천6,경안천5
경안천5,오산천2
경안천5,경안천4
오산천2,오산천1
경안천4,경안천3
경안천3,경안천2
경안천2,경안천1
영월1,석항천
석항천,동강2
동강2,동강1
동강1,지장천2
동강1,광하
지장천2,지장천1
광하,정선2
정선2,어천2
정선2,정선1
어천2,어천1
정선1,조양강
정선1,오대천3
오대천3,오대천2
오대천2,오대천1
조양강,골지천4
골지천4,송천4
골지천4,골지천3
골지천4,송현천
송천4,송천3
송천4,봉산천
송천3,송천2
송천2,송천1
골지천3,골지천2
골지천2,골지천1
골지천3,번천
골지천2,번천
오갑천,청미천1
오갑천,청미천4
오갑천,청미천2
청미천2,청미천1
청미천2,청미천4
청미천2,청미천3
청미천3,응천
응천,청미천5
청미천5,청미천3
청미천5,청미천6
청미천6,강천
강천,금당천2
금당천2,여주1
여주1,대신
대신,여주2
여주2,양화천4
여주2,곡수천2
여주2,복하천6
양화천4,양화천3
양화천3,양화천2
양화천2,양화천1
복하천6,복하천5
복하천5,복하천4
복하천4,복하천3
복하천3,복하천2
복하천2,복하천1
여주2,곡수천1
곡수천1,곡수천2
곡수천2,이포
이포,금사천
금사천,용담천
용담천,흑천3
용담천,강상
강상,사탄천
사탄천,성덕천
성덕천,가정천
흑천3,흑천2
흑천2,흑천1
금당천2,금당천1
달천1,달천2
달천2,달천3
달천3,구룡천
달천3,화양천
화양천,달천4
화양천,쌍천
쌍천,향목동천
달천4,동진천2
달천4,달천5
동진천2,동진천1
달천5,달천6
달천5,음성천2
음성천2,음성천1
달천6,석문동천2
달천6,달천7
석문동천2,석문동천1
달천7,요도천
달천7,달천8
달천8,요도천
달천8,충주천
고사,미로
미로,삼척
삼척,사직
원심천,섬강5
섬강5,서곡천
섬강5,섬강4
섬강4,삼산천
섬강4,이리천
이리천,원주천2
이리천,섬강3
원주천2,원주천1
섬강3,원주천2
섬강3,섬강2
섬강2,섬강1
섬강1,전천
섬강1,금계천2
전천,하수남천
금계천2,계천2
금계천2,금계천1
계천2,대관대천
계천2,계천1
계천1,대관대천
계천1,유동천1
계천1,유동천2
유동천1,유동천2
섬강5,섬강6
원심천,섬강6
방내천,내린천1
소양강2,소양강1
소양강1,내린천2
내린천2,방내천
안성천1,안성천2
안성천2,입장천
안성천2,성환천
안성천2,안성천3
안성천3,성환천
안성천3,입장천
입장천,성환천
안성천3,진위천6
진위천6,관리천
진위천6,진위천4
진위천4,황구지천6
진위천4,오산천7
황구지천6,황구지천5
황구지천5,황구지천4
황구지천4,황구지천3
황구지천3,황구지천2
오산천7,진위천3
오산천7,오산천6
진위천3,진위천2
진위천2,성은천
진위천2,진위천1
진위천1,성은천
오산천6,오산천5
오산천5,오산천4
오산천4,오산천3
양양,용천
공지천1,공지천2
공지천2,공지천3
공지천3,의암댐
의암댐,의암
의암,춘성교
춘성교,가평천3
가평천3,남이섬
가평천3,가평천2
가평천2,가평천1
임진강2,임진강3
문산천1,문산천2
문산천2,문산천3
문산천3,문산천4
문산천4,임진강7
임진강7,임진강6
임진강6,임진강5
임진강5,임진강4
임진강5,사미천
사미천,임진강4
조종천1,조종천2
조종천2,조종천3
조종천3,조종천4
조종천4,청평
조종천4,대성리
조종천4,구운천2
대성리,구운천2
구운천2,구운천1
구운천2,벽계천2
벽계천2,벽계천1
벽계천2,묵현천
묵현천,삼봉리
삼봉리,문호천
문호천,묵현천
춘천3,춘천2
춘천2,춘천1
춘천1,지촌천
춘천1,화천천
지촌천,화천천
화천천,양구서천
옥동천1,옥동천2
옥동천1,마포천
옥동천1,옥동천3
옥동천3,영월2
오사리,옥동천3
오사리,영춘
영춘,가곡
가곡,덕천
덕천,가대천
덕천,죽령천
덕천,단성
단양천,덕천
단양천,죽령천
단양천,단성
단성,동달천
단성,충주댐
충주댐,충주
충주,목행대교
제천천5,충주댐
제천천5,동달천
제천천5,단성
제천천5,제천천4
제천천4,원서천2
제천천4,제천천3
원서천2,원서천1
제천천3,제천천2
제천천3,장평천
제천천2,제천천1
매포천,영춘
매포천,오사리
원주,운계천
원주,덕은리
운계천,덕은리
덕은리,중원
덕은리,앙성천
중원,앙성천
중원,영덕천
평창강5,평창강4
평창강4,무도천
평창강4,주천강3
주천강3,무도천
주천강3,평창강3
주천강3,황둔천
황둔천,주천강2
주천강2,주천강1
평창강3,평창강2
평창강2,평창강1
굴포천1,굴포천2
굴포천2,굴포천3
굴포천3,굴포천4
굴포천3,계양천
계양천,파주
나진포천,파주
굴포천4,김포
김포,행주
김포,파주
행주,창릉천5
창릉천5,가양
창릉천5,창릉천4
창릉천4,창릉천2
창릉천4,창릉천3
창릉천2,창릉천1
창릉천3,공릉천2
공릉천2,공릉천1
공릉천2,공릉천3
공릉천3,공릉천4
공릉천4,장진천
공릉천4,공릉천5
장진천,설문천
아라천1,공릉천5
아라천1,공릉천4
탄천1,탄천2
탄천2,탄천3
탄천2,동막천
동막천,탄천3
탄천3,탄천4
탄천4,탄천5
탄천5,양재천2
탄천5,탄천6
양재천2,양재천1
탄천6,성내천
탄천6,뚝도
뚝도,성내천
성내천,감이천
뚝도,보광
뚝도,중랑천6
보광,노량진
노량진,영등포
노량진,안양천10
노량진,홍제천
영등포,홍제천
영등포,안양천10
안양천10,안양천9
안양천10,도림천
안양천9,목감천2
목감천2,안양천8
안양천8,목감천1
목감천1,안양천7
안양천7,안양천6
안양천6,안양천5
안양천5,학의천
안양천5,안양천4
안양천4,안양천3
안양천4,산본천
안양천3,안양천2
안양천2,산본천
안양천2,안양천1
중랑천6,청계천3
청계천3,성북천
성북천,정릉천
청계천3,청계천2
청계천2,청계천1
청계천3,중랑천5
중랑천5,우이천
우이천,중랑천4
중랑천4,중랑천3
중랑천3,중랑천2
중랑천2,중랑천1
내가천,선행천
선행천,아라천2
잠실,구의
구의,암사
암사,구리
암사,고덕천
고덕천,망월천
고덕천,초이천
구리,왕숙천6
왕숙천6,왕숙천5
왕숙천6,홍릉천
왕숙천5,용암천
왕숙천5,왕숙천4
왕숙천4,왕숙천3
왕숙천4,왕숙천2
왕숙천2,왕숙천1
왕숙천2,봉선사천
홍릉천,덕소천
덕소천,도심천
덕소천,월문천
도심천,궁촌천
궁촌천,도곡
도곡,덕풍천
도곡,산곡천
산곡천,팔당
신천1,신천2
신천2,신천3
신천3,신천4
신천4,수동천
신천4,신천5
신천5,한탄강4
신천5,한탄강3
한탄강4,차탄천
차탄천,한탄강5
한탄강3,한탄강2
한탄강2,영평천3
한탄강2,한탄강1
한탄강1,김화 남대천
영평천3,포천천
포천천,영평천2
영평천2,영평천1
화양강,홍천강1
홍천강1,굴지천
홍천강1,홍천강2
홍천강2,중방대천
홍천강2,홍천강3
홍천강3,추곡천
인북천2,인북천1
인북천1,만대천
곤양천,백련천
감천1,감천2
감천2,감천3
감천3,감천4
강정,한천2
한천2,한천1
강정,봉곡천
봉곡천,한천2
한천2,구미
구미,칠곡
구미,경호천
경호천,칠곡
경호천,백천1
칠곡,왜관
왜관,성주
성주,백천2
성주,용암
용암,하빈천
용암,다사
하빈천,다사
다사,달성
구천천,연초천2
연초천2,연초천1
선산,산곡
산곡,상주3
상주3,낙단
죽장천,자호천
자호천,금호강1
금호강1,금호강2
금호강2,신령천
신령천,고현천
